age_group	gender	name_i	name_j	patient
00-04	Male	Nortriptyline	Pseudoephedrine	0
05-09	Male	Nortriptyline	Pseudoephedrine	0
10-14	Male	Nortriptyline	Pseudoephedrine	0
15-19	Male	Nortriptyline	Pseudoephedrine	0
20-24	Male	Nortriptyline	Pseudoephedrine	0
25-29	Male	Nortriptyline	Pseudoephedrine	0
30-34	Male	Nortriptyline	Pseudoephedrine	0
35-39	Male	Nortriptyline	Pseudoephedrine	0
40-44	Male	Nortriptyline	Pseudoephedrine	0
45-49	Male	Nortriptyline	Pseudoephedrine	0
50-54	Male	Nortriptyline	Pseudoephedrine	2.2004911496246e-06
55-59	Male	Nortriptyline	Pseudoephedrine	0
60-64	Male	Nortriptyline	Pseudoephedrine	0
65-69	Male	Nortriptyline	Pseudoephedrine	0
70-74	Male	Nortriptyline	Pseudoephedrine	0
75-79	Male	Nortriptyline	Pseudoephedrine	0
80-84	Male	Nortriptyline	Pseudoephedrine	8.99697251874744e-06
85-89	Male	Nortriptyline	Pseudoephedrine	0
>90	Male	Nortriptyline	Pseudoephedrine	0
