age_group	gender	name_i	name_j	patient
00-04	Male	Pyridostigmine	Dexamethasone	0
05-09	Male	Pyridostigmine	Dexamethasone	0
10-14	Male	Pyridostigmine	Dexamethasone	0
15-19	Male	Pyridostigmine	Dexamethasone	0
20-24	Male	Pyridostigmine	Dexamethasone	0
25-29	Male	Pyridostigmine	Dexamethasone	0
30-34	Male	Pyridostigmine	Dexamethasone	0
35-39	Male	Pyridostigmine	Dexamethasone	0
40-44	Male	Pyridostigmine	Dexamethasone	1.8670126863512e-06
45-49	Male	Pyridostigmine	Dexamethasone	0
50-54	Male	Pyridostigmine	Dexamethasone	2.2004911496246e-06
55-59	Male	Pyridostigmine	Dexamethasone	0
60-64	Male	Pyridostigmine	Dexamethasone	7.28770903578751e-06
65-69	Male	Pyridostigmine	Dexamethasone	2.64798951396152e-06
70-74	Male	Pyridostigmine	Dexamethasone	2.95483825215408e-06
75-79	Male	Pyridostigmine	Dexamethasone	1.05277933745087e-05
80-84	Male	Pyridostigmine	Dexamethasone	0
85-89	Male	Pyridostigmine	Dexamethasone	6.76681553660847e-06
>90	Male	Pyridostigmine	Dexamethasone	0
