age_group	gender	name_i	name_j	patient
00-04	Male	Ranolazine	Simvastatin	0
05-09	Male	Ranolazine	Simvastatin	0
10-14	Male	Ranolazine	Simvastatin	3.81101918085954e-06
15-19	Male	Ranolazine	Simvastatin	0
20-24	Male	Ranolazine	Simvastatin	0
25-29	Male	Ranolazine	Simvastatin	0
30-34	Male	Ranolazine	Simvastatin	0
35-39	Male	Ranolazine	Simvastatin	1.84425964962755e-06
40-44	Male	Ranolazine	Simvastatin	3.73402537270241e-06
45-49	Male	Ranolazine	Simvastatin	2.03608347127799e-05
50-54	Male	Ranolazine	Simvastatin	5.72127698902395e-05
55-59	Male	Ranolazine	Simvastatin	0.000161994647133399
60-64	Male	Ranolazine	Simvastatin	0.00018462196223995
65-69	Male	Ranolazine	Simvastatin	0.000291278846535768
70-74	Male	Ranolazine	Simvastatin	0.000395948325788646
75-79	Male	Ranolazine	Simvastatin	0.000554463784390792
80-84	Male	Ranolazine	Simvastatin	0.000697265370202927
85-89	Male	Ranolazine	Simvastatin	0.000757883340100149
>90	Male	Ranolazine	Simvastatin	0.000646782989607373
