age_group	gender	name_i	name_j	patient
00-04	Male	Theophylline	Nadolol	0
05-09	Male	Theophylline	Nadolol	0
10-14	Male	Theophylline	Nadolol	0
15-19	Male	Theophylline	Nadolol	0
20-24	Male	Theophylline	Nadolol	0
25-29	Male	Theophylline	Nadolol	0
30-34	Male	Theophylline	Nadolol	0
35-39	Male	Theophylline	Nadolol	0
40-44	Male	Theophylline	Nadolol	0
45-49	Male	Theophylline	Nadolol	0
50-54	Male	Theophylline	Nadolol	0
55-59	Male	Theophylline	Nadolol	0
60-64	Male	Theophylline	Nadolol	0
65-69	Male	Theophylline	Nadolol	0
70-74	Male	Theophylline	Nadolol	8.86451475646223e-06
75-79	Male	Theophylline	Nadolol	3.50926445816957e-06
80-84	Male	Theophylline	Nadolol	0
85-89	Male	Theophylline	Nadolol	0
>90	Male	Theophylline	Nadolol	0
