age_group	gender	name_i	name_j	patient
00-04	Female	Atomoxetine	Haloperidol	0
05-09	Female	Atomoxetine	Haloperidol	0
10-14	Female	Atomoxetine	Haloperidol	0
15-19	Female	Atomoxetine	Haloperidol	9.60984047664809e-05
20-24	Female	Atomoxetine	Haloperidol	0
25-29	Female	Atomoxetine	Haloperidol	0
30-34	Female	Atomoxetine	Haloperidol	0
35-39	Female	Atomoxetine	Haloperidol	0
40-44	Female	Atomoxetine	Haloperidol	0.000102270402945388
45-49	Female	Atomoxetine	Haloperidol	0
50-54	Female	Atomoxetine	Haloperidol	0
55-59	Female	Atomoxetine	Haloperidol	0
60-64	Female	Atomoxetine	Haloperidol	0
65-69	Female	Atomoxetine	Haloperidol	0
70-74	Female	Atomoxetine	Haloperidol	0
75-79	Female	Atomoxetine	Haloperidol	0
80-84	Female	Atomoxetine	Haloperidol	0
85-89	Female	Atomoxetine	Haloperidol	0
>90	Female	Atomoxetine	Haloperidol	0
