age_group	gender	name_i	name_j	patient
00-04	Female	Cyclosporine	Allopurinol	0
05-09	Female	Cyclosporine	Allopurinol	0
10-14	Female	Cyclosporine	Allopurinol	0
15-19	Female	Cyclosporine	Allopurinol	0
20-24	Female	Cyclosporine	Allopurinol	0
25-29	Female	Cyclosporine	Allopurinol	0
30-34	Female	Cyclosporine	Allopurinol	0
35-39	Female	Cyclosporine	Allopurinol	0
40-44	Female	Cyclosporine	Allopurinol	0
45-49	Female	Cyclosporine	Allopurinol	0
50-54	Female	Cyclosporine	Allopurinol	0
55-59	Female	Cyclosporine	Allopurinol	0
60-64	Female	Cyclosporine	Allopurinol	9.25411808254673e-05
65-69	Female	Cyclosporine	Allopurinol	0
70-74	Female	Cyclosporine	Allopurinol	0
75-79	Female	Cyclosporine	Allopurinol	0
80-84	Female	Cyclosporine	Allopurinol	0
85-89	Female	Cyclosporine	Allopurinol	0
>90	Female	Cyclosporine	Allopurinol	0
