age_group	gender	name_i	name_j	patient
00-04	Female	Fluconazole	Cyclophosphamide	0
05-09	Female	Fluconazole	Cyclophosphamide	0.000111172873818788
10-14	Female	Fluconazole	Cyclophosphamide	0.000122684333210649
15-19	Female	Fluconazole	Cyclophosphamide	0
20-24	Female	Fluconazole	Cyclophosphamide	0
25-29	Female	Fluconazole	Cyclophosphamide	0
30-34	Female	Fluconazole	Cyclophosphamide	0
35-39	Female	Fluconazole	Cyclophosphamide	0
40-44	Female	Fluconazole	Cyclophosphamide	0.000102270402945388
45-49	Female	Fluconazole	Cyclophosphamide	0.000292511700468019
50-54	Female	Fluconazole	Cyclophosphamide	9.23446301597562e-05
55-59	Female	Fluconazole	Cyclophosphamide	8.74737578726382e-05
60-64	Female	Fluconazole	Cyclophosphamide	9.25411808254673e-05
65-69	Female	Fluconazole	Cyclophosphamide	0
70-74	Female	Fluconazole	Cyclophosphamide	0
75-79	Female	Fluconazole	Cyclophosphamide	0
80-84	Female	Fluconazole	Cyclophosphamide	0
85-89	Female	Fluconazole	Cyclophosphamide	0
>90	Female	Fluconazole	Cyclophosphamide	0
