age_group	gender	name_i	name_j	patient
00-04	Female	Hydromorphone	Cimetidine	0
05-09	Female	Hydromorphone	Cimetidine	0
10-14	Female	Hydromorphone	Cimetidine	0
15-19	Female	Hydromorphone	Cimetidine	0
20-24	Female	Hydromorphone	Cimetidine	0
25-29	Female	Hydromorphone	Cimetidine	0
30-34	Female	Hydromorphone	Cimetidine	0
35-39	Female	Hydromorphone	Cimetidine	0
40-44	Female	Hydromorphone	Cimetidine	0
45-49	Female	Hydromorphone	Cimetidine	9.75039001560062e-05
50-54	Female	Hydromorphone	Cimetidine	0
55-59	Female	Hydromorphone	Cimetidine	8.74737578726382e-05
60-64	Female	Hydromorphone	Cimetidine	0
65-69	Female	Hydromorphone	Cimetidine	0
70-74	Female	Hydromorphone	Cimetidine	0
75-79	Female	Hydromorphone	Cimetidine	0
80-84	Female	Hydromorphone	Cimetidine	0
85-89	Female	Hydromorphone	Cimetidine	0
>90	Female	Hydromorphone	Cimetidine	0
