age_group	gender	name_i	name_j	patient
00-04	Female	Ibandronate	Iron	0
05-09	Female	Ibandronate	Iron	0
10-14	Female	Ibandronate	Iron	0
15-19	Female	Ibandronate	Iron	0
20-24	Female	Ibandronate	Iron	0
25-29	Female	Ibandronate	Iron	0
30-34	Female	Ibandronate	Iron	0
35-39	Female	Ibandronate	Iron	0
40-44	Female	Ibandronate	Iron	0
45-49	Female	Ibandronate	Iron	0
50-54	Female	Ibandronate	Iron	0
55-59	Female	Ibandronate	Iron	0
60-64	Female	Ibandronate	Iron	0
65-69	Female	Ibandronate	Iron	0
70-74	Female	Ibandronate	Iron	0
75-79	Female	Ibandronate	Iron	0.000220361392684002
80-84	Female	Ibandronate	Iron	0
85-89	Female	Ibandronate	Iron	0
>90	Female	Ibandronate	Iron	0
