age_group	gender	name_i	name_j	patient
00-04	Female	Methotrexate	Oxaprozin	0
05-09	Female	Methotrexate	Oxaprozin	0
10-14	Female	Methotrexate	Oxaprozin	0
15-19	Female	Methotrexate	Oxaprozin	0
20-24	Female	Methotrexate	Oxaprozin	0
25-29	Female	Methotrexate	Oxaprozin	0
30-34	Female	Methotrexate	Oxaprozin	0
35-39	Female	Methotrexate	Oxaprozin	0
40-44	Female	Methotrexate	Oxaprozin	0
45-49	Female	Methotrexate	Oxaprozin	0
50-54	Female	Methotrexate	Oxaprozin	0
55-59	Female	Methotrexate	Oxaprozin	0
60-64	Female	Methotrexate	Oxaprozin	0
65-69	Female	Methotrexate	Oxaprozin	0.000112007168458781
70-74	Female	Methotrexate	Oxaprozin	0
75-79	Female	Methotrexate	Oxaprozin	0
80-84	Female	Methotrexate	Oxaprozin	0
85-89	Female	Methotrexate	Oxaprozin	0
>90	Female	Methotrexate	Oxaprozin	0
