age_group	gender	name_i	name_j	patient
00-04	Female	Metoprolol	Cimetidine	0
05-09	Female	Metoprolol	Cimetidine	0
10-14	Female	Metoprolol	Cimetidine	0
15-19	Female	Metoprolol	Cimetidine	0
20-24	Female	Metoprolol	Cimetidine	0
25-29	Female	Metoprolol	Cimetidine	0
30-34	Female	Metoprolol	Cimetidine	0
35-39	Female	Metoprolol	Cimetidine	0
40-44	Female	Metoprolol	Cimetidine	0
45-49	Female	Metoprolol	Cimetidine	0
50-54	Female	Metoprolol	Cimetidine	0
55-59	Female	Metoprolol	Cimetidine	0
60-64	Female	Metoprolol	Cimetidine	0
65-69	Female	Metoprolol	Cimetidine	0
70-74	Female	Metoprolol	Cimetidine	0.000158478605388273
75-79	Female	Metoprolol	Cimetidine	0
80-84	Female	Metoprolol	Cimetidine	0.000301841231512225
85-89	Female	Metoprolol	Cimetidine	0
>90	Female	Metoprolol	Cimetidine	0
