age_group	gender	name_i	name_j	patient
00-04	Female	Piperacillin	Rocuronium	0.00101874490627547
05-09	Female	Piperacillin	Rocuronium	0.000667037242912729
10-14	Female	Piperacillin	Rocuronium	0.00184026499815974
15-19	Female	Piperacillin	Rocuronium	0.000768787238131847
20-24	Female	Piperacillin	Rocuronium	0.00180518992102294
25-29	Female	Piperacillin	Rocuronium	0.00175222272697774
30-34	Female	Piperacillin	Rocuronium	0.00206140027976147
35-39	Female	Piperacillin	Rocuronium	0.00365615168778165
40-44	Female	Piperacillin	Rocuronium	0.00276130087952547
45-49	Female	Piperacillin	Rocuronium	0.00341263650546022
50-54	Female	Piperacillin	Rocuronium	0.00554067780958537
55-59	Female	Piperacillin	Rocuronium	0.00551084674597621
60-64	Female	Piperacillin	Rocuronium	0.00703312974273552
65-69	Female	Piperacillin	Rocuronium	0.00772849462365591
70-74	Female	Piperacillin	Rocuronium	0.00602218700475436
75-79	Female	Piperacillin	Rocuronium	0.00837373292199207
80-84	Female	Piperacillin	Rocuronium	0.00664050709326894
85-89	Female	Piperacillin	Rocuronium	0.0079646017699115
>90	Female	Piperacillin	Rocuronium	0
