age_group	gender	name_i	name_j	patient
00-04	Female	Tramadol	Nefazodone	0
05-09	Female	Tramadol	Nefazodone	0
10-14	Female	Tramadol	Nefazodone	0
15-19	Female	Tramadol	Nefazodone	0
20-24	Female	Tramadol	Nefazodone	0
25-29	Female	Tramadol	Nefazodone	0
30-34	Female	Tramadol	Nefazodone	0
35-39	Female	Tramadol	Nefazodone	0
40-44	Female	Tramadol	Nefazodone	0
45-49	Female	Tramadol	Nefazodone	0
50-54	Female	Tramadol	Nefazodone	0
55-59	Female	Tramadol	Nefazodone	0
60-64	Female	Tramadol	Nefazodone	0
65-69	Female	Tramadol	Nefazodone	0.000112007168458781
70-74	Female	Tramadol	Nefazodone	0
75-79	Female	Tramadol	Nefazodone	0
80-84	Female	Tramadol	Nefazodone	0
85-89	Female	Tramadol	Nefazodone	0
>90	Female	Tramadol	Nefazodone	0
