age_group	gender	name_i	name_j	patient
00-04	Male	Ceftazidime	Tobramycin	0
05-09	Male	Ceftazidime	Tobramycin	0
10-14	Male	Ceftazidime	Tobramycin	0.000116945386504502
15-19	Male	Ceftazidime	Tobramycin	0
20-24	Male	Ceftazidime	Tobramycin	0
25-29	Male	Ceftazidime	Tobramycin	0.00012721027859051
30-34	Male	Ceftazidime	Tobramycin	0
35-39	Male	Ceftazidime	Tobramycin	0
40-44	Male	Ceftazidime	Tobramycin	0
45-49	Male	Ceftazidime	Tobramycin	0
50-54	Male	Ceftazidime	Tobramycin	0
55-59	Male	Ceftazidime	Tobramycin	0.000225580870742161
60-64	Male	Ceftazidime	Tobramycin	0.000243813239058881
65-69	Male	Ceftazidime	Tobramycin	0
70-74	Male	Ceftazidime	Tobramycin	0
75-79	Male	Ceftazidime	Tobramycin	0
80-84	Male	Ceftazidime	Tobramycin	0
85-89	Male	Ceftazidime	Tobramycin	0
>90	Male	Ceftazidime	Tobramycin	0
