age_group	gender	name_i	name_j	patient
00-04	Male	Diltiazem	Cilostazol	0
05-09	Male	Diltiazem	Cilostazol	0
10-14	Male	Diltiazem	Cilostazol	0
15-19	Male	Diltiazem	Cilostazol	0
20-24	Male	Diltiazem	Cilostazol	0
25-29	Male	Diltiazem	Cilostazol	0
30-34	Male	Diltiazem	Cilostazol	0
35-39	Male	Diltiazem	Cilostazol	0
40-44	Male	Diltiazem	Cilostazol	0
45-49	Male	Diltiazem	Cilostazol	0
50-54	Male	Diltiazem	Cilostazol	0.000124177325220415
55-59	Male	Diltiazem	Cilostazol	0
60-64	Male	Diltiazem	Cilostazol	0
65-69	Male	Diltiazem	Cilostazol	0
70-74	Male	Diltiazem	Cilostazol	0.000427350427350427
75-79	Male	Diltiazem	Cilostazol	0.000626370184779205
80-84	Male	Diltiazem	Cilostazol	0
85-89	Male	Diltiazem	Cilostazol	0.000809061488673139
>90	Male	Diltiazem	Cilostazol	0
