age_group	gender	name_i	name_j	patient
00-04	Male	Lovastatin	Colchicine	0
05-09	Male	Lovastatin	Colchicine	0
10-14	Male	Lovastatin	Colchicine	0
15-19	Male	Lovastatin	Colchicine	0
20-24	Male	Lovastatin	Colchicine	0
25-29	Male	Lovastatin	Colchicine	0
30-34	Male	Lovastatin	Colchicine	0
35-39	Male	Lovastatin	Colchicine	0
40-44	Male	Lovastatin	Colchicine	0
45-49	Male	Lovastatin	Colchicine	0
50-54	Male	Lovastatin	Colchicine	0
55-59	Male	Lovastatin	Colchicine	0.000112790435371081
60-64	Male	Lovastatin	Colchicine	0
65-69	Male	Lovastatin	Colchicine	0
70-74	Male	Lovastatin	Colchicine	0
75-79	Male	Lovastatin	Colchicine	0
80-84	Male	Lovastatin	Colchicine	0
85-89	Male	Lovastatin	Colchicine	0
>90	Male	Lovastatin	Colchicine	0
