age_group	gender	name_i	name_j	patient
00-04	Male	Meclizine	Donepezil	0
05-09	Male	Meclizine	Donepezil	0
10-14	Male	Meclizine	Donepezil	0
15-19	Male	Meclizine	Donepezil	0
20-24	Male	Meclizine	Donepezil	0
25-29	Male	Meclizine	Donepezil	0
30-34	Male	Meclizine	Donepezil	0
35-39	Male	Meclizine	Donepezil	0
40-44	Male	Meclizine	Donepezil	0
45-49	Male	Meclizine	Donepezil	0
50-54	Male	Meclizine	Donepezil	0
55-59	Male	Meclizine	Donepezil	0
60-64	Male	Meclizine	Donepezil	0
65-69	Male	Meclizine	Donepezil	0
70-74	Male	Meclizine	Donepezil	0.000213675213675214
75-79	Male	Meclizine	Donepezil	0.000939555277168807
80-84	Male	Meclizine	Donepezil	0
85-89	Male	Meclizine	Donepezil	0
>90	Male	Meclizine	Donepezil	0
