age_group	gender	name_i	name_j	patient
00-04	Male	Promethazine	Levofloxacin	0
05-09	Male	Promethazine	Levofloxacin	0
10-14	Male	Promethazine	Levofloxacin	0
15-19	Male	Promethazine	Levofloxacin	0
20-24	Male	Promethazine	Levofloxacin	0
25-29	Male	Promethazine	Levofloxacin	0.00025442055718102
30-34	Male	Promethazine	Levofloxacin	0
35-39	Male	Promethazine	Levofloxacin	0.000139958012596221
40-44	Male	Promethazine	Levofloxacin	0.000148235991698784
45-49	Male	Promethazine	Levofloxacin	0
50-54	Male	Promethazine	Levofloxacin	0.000869241276542903
55-59	Male	Promethazine	Levofloxacin	0.000676742612226483
60-64	Male	Promethazine	Levofloxacin	0.000487626478117762
65-69	Male	Promethazine	Levofloxacin	0.000601142170123234
70-74	Male	Promethazine	Levofloxacin	0
75-79	Male	Promethazine	Levofloxacin	0.000313185092389602
80-84	Male	Promethazine	Levofloxacin	0.000495294700346706
85-89	Male	Promethazine	Levofloxacin	0
>90	Male	Promethazine	Levofloxacin	0
